2021-07-05 11:07:884 INFO  Homepage :31 - Verify Search Page Text[[ChromeDriver: chrome on WINDOWS (75b295a949b39cb824d75b967ac2a905)] -> xpath: //h1[contains( text() , 'New & Used Car Search - carsguide')]]
2021-07-05 11:07:940 INFO  SearchPage :33 - Selecting Car Make[[ChromeDriver: chrome on WINDOWS (75b295a949b39cb824d75b967ac2a905)] -> xpath: //select[@id='makes']]
2021-07-05 11:07:289 INFO  SearchPage :38 - Selecting Car Model[[ChromeDriver: chrome on WINDOWS (75b295a949b39cb824d75b967ac2a905)] -> xpath: //select[@id='models']]
2021-07-05 11:07:643 INFO  SearchPage :47 - Selecting Location of the Car[[ChromeDriver: chrome on WINDOWS (75b295a949b39cb824d75b967ac2a905)] -> xpath: //select[@id='locations']]
2021-07-05 11:07:803 INFO  SearchPage :42 - Selecting Car Price[[ChromeDriver: chrome on WINDOWS (75b295a949b39cb824d75b967ac2a905)] -> xpath: //select[@id='priceTo']]
2021-07-05 11:07:910 INFO  BasePage :34 - Launching Chrome Browser 
2021-07-05 11:07:274 INFO  Homepage :23 - Mouse hover on buy + sell[[ChromeDriver: chrome on WINDOWS (1278e0a431739c9e24340ec4ab23fdb1)] -> xpath: //a[contains( text() , 'buy + sell')]]
2021-07-05 11:07:518 INFO  Homepage :27 - CLicking on Search Cars[[ChromeDriver: chrome on WINDOWS (1278e0a431739c9e24340ec4ab23fdb1)] -> xpath: //a[contains( text() , 'Search Cars')]]
2021-07-05 11:07:710 INFO  Homepage :31 - Verify Search Page Text[[ChromeDriver: chrome on WINDOWS (1278e0a431739c9e24340ec4ab23fdb1)] -> xpath: //h1[contains( text() , 'New & Used Car Search - carsguide')]]
2021-07-05 11:07:841 INFO  SearchPage :33 - Selecting Car Make[[ChromeDriver: chrome on WINDOWS (1278e0a431739c9e24340ec4ab23fdb1)] -> xpath: //select[@id='makes']]
2021-07-05 11:07:227 INFO  SearchPage :38 - Selecting Car Model[[ChromeDriver: chrome on WINDOWS (1278e0a431739c9e24340ec4ab23fdb1)] -> xpath: //select[@id='models']]
2021-07-05 11:07:523 INFO  SearchPage :47 - Selecting Location of the Car[[ChromeDriver: chrome on WINDOWS (1278e0a431739c9e24340ec4ab23fdb1)] -> xpath: //select[@id='locations']]
